experiment,job_id,node,rank,n_gpus,gpu_name,seq_range,fasta_file,seq_len,phase,cache_warm,num_samples,batch_size,wall_time_s,peak_vram_mb,status
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000189504_00958.fasta,91,sample,True,25,50,9.03,1573.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000189504_00958.fasta,91,sample,True,50,50,16.61,2982.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000189504_00958.fasta,91,sample,True,100,50,32.62,3551.3,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000189504_00958.fasta,91,sample,True,200,50,64.91,3557.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000189504_00958.fasta,91,sample,True,500,50,159.41,3565.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000189504_00958.fasta,91,sample,True,1000,50,317.29,3573.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000190757_00999.fasta,81,warmup,False,1,50,2.6,261.0,ERROR: Invalid suffix '_unphysical.xtc'
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000251045_00692.fasta,86,warmup,False,1,50,2.49,275.3,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000251045_00692.fasta,86,sample,True,10,50,4.15,736.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000251045_00692.fasta,86,sample,True,25,50,8.61,1496.3,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000251045_00692.fasta,86,sample,True,50,50,15.36,2659.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000251045_00692.fasta,86,sample,True,100,50,29.9,3521.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000251045_00692.fasta,86,sample,True,200,50,58.33,3528.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000251045_00692.fasta,86,sample,True,500,50,144.9,3536.3,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000251045_00692.fasta,86,sample,True,1000,50,288.43,3543.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,warmup,False,1,50,3.2,550.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,10,50,17.97,3100.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,25,50,43.25,3107.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,50,50,84.63,3052.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,100,50,167.48,3061.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,200,50,333.21,3069.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,500,50,837.41,3076.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,1000,50,1665.98,3043.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,warmup,False,1,50,4.08,703.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,10,50,26.18,2939.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,25,50,63.55,2950.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,50,50,125.93,2934.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,100,50,250.97,2940.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,200,50,501.31,2950.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,500,50,1252.6,2927.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,1000,50,2505.76,2934.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002683_01443.fasta,277,warmup,False,1,50,3.71,653.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002683_01443.fasta,277,sample,True,10,50,23.6,3152.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002683_01443.fasta,277,sample,True,25,50,57.39,3139.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002683_01443.fasta,277,sample,True,50,50,113.18,3147.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002683_01443.fasta,277,sample,True,100,50,225.06,3154.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002683_01443.fasta,277,sample,True,200,50,450.45,3141.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002683_01443.fasta,277,sample,True,500,50,1136.05,3148.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002683_01443.fasta,277,sample,True,1000,50,2249.4,3155.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002818_01096.fasta,267,warmup,False,1,50,4.0,637.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002818_01096.fasta,267,sample,True,10,50,22.06,3391.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002818_01096.fasta,267,sample,True,25,50,53.55,3397.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002818_01096.fasta,267,sample,True,50,50,107.5,3407.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002818_01096.fasta,267,sample,True,100,50,212.22,3415.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002818_01096.fasta,267,sample,True,200,50,422.66,3390.3,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002818_01096.fasta,267,sample,True,500,50,822.57,3398.0,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000002818_01096.fasta,267,sample,True,1000,50,1595.23,3408.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000004730_00424.fasta,314,warmup,False,1,50,0.87,15.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000004730_00424.fasta,314,sample,True,10,50,0.7,15.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000004730_00424.fasta,314,sample,True,25,50,1.01,15.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000004730_00424.fasta,314,sample,True,50,50,1.03,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000004730_00424.fasta,314,sample,True,100,50,1.39,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000004730_00424.fasta,314,sample,True,200,50,2.22,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000004730_00424.fasta,314,sample,True,500,50,552.88,3334.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000004730_00424.fasta,314,sample,True,1000,50,2821.22,3342.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000018992_02079.fasta,186,warmup,False,1,50,0.83,23.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000018992_02079.fasta,186,sample,True,10,50,0.9,23.5,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000018992_02079.fasta,186,sample,True,25,50,0.8,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000018992_02079.fasta,186,sample,True,50,50,0.89,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000018992_02079.fasta,186,sample,True,100,50,1.17,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000018992_02079.fasta,186,sample,True,200,50,1.75,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000018992_02079.fasta,186,sample,True,500,50,3.5,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000018992_02079.fasta,186,sample,True,1000,50,7.0,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,warmup,False,1,50,0.59,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,10,50,0.64,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,25,50,0.69,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,50,50,0.86,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,100,50,1.06,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,200,50,1.65,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,500,50,3.15,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000065599_00399.fasta,102,sample,True,1000,50,5.73,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,warmup,False,1,50,0.66,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,10,50,1.02,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,25,50,0.75,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,50,50,0.86,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,100,50,1.13,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,200,50,1.67,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,500,50,3.42,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,1000,50,6.3,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,warmup,False,1,50,0.85,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,10,50,0.63,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,25,50,0.74,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,50,50,0.85,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,100,50,1.17,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,200,50,1.66,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,500,50,3.26,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,1000,50,6.03,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,warmup,False,1,50,0.64,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,10,50,0.84,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,25,50,0.71,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,50,50,0.82,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,100,50,1.07,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,200,50,1.58,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,500,50,3.06,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,1000,50,5.72,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000477_01569.fasta,569,warmup,False,1,50,0.93,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000477_01569.fasta,569,sample,True,10,50,0.82,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000477_01569.fasta,569,sample,True,25,50,1.21,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000477_01569.fasta,569,sample,True,50,50,1.21,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000477_01569.fasta,569,sample,True,100,50,2.16,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000477_01569.fasta,569,sample,True,200,50,3.5,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000477_01569.fasta,569,sample,True,500,50,3592.05,2222.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000477_01569.fasta,569,sample,True,1000,50,8195.44,2232.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000619_00976.fasta,540,warmup,False,1,50,0.89,15.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000619_00976.fasta,540,sample,True,10,50,0.98,15.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000619_00976.fasta,540,sample,True,25,50,0.92,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000619_00976.fasta,540,sample,True,50,50,1.39,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000619_00976.fasta,540,sample,True,100,50,1.69,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000619_00976.fasta,540,sample,True,200,50,3.07,8.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000000619_00976.fasta,540,sample,True,500,50,7.07,8.1,ok
