experiment,job_id,node,rank,n_gpus,gpu_name,seq_range,fasta_file,seq_len,phase,cache_warm,num_samples,batch_size,wall_time_s,peak_vram_mb,status
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,500,50,428.09,3501.6,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,1000,50,793.56,3509.2,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,warmup,False,1,50,9.12,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,10,50,12.05,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,25,50,17.35,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,50,50,26.82,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,100,50,45.0,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,200,50,81.46,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,500,50,167.83,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000051780_00386.fasta,100,sample,True,1000,50,289.74,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,warmup,False,1,50,9.65,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,10,50,18.92,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,25,50,41.94,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,50,50,77.31,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,100,50,131.93,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,200,50,207.62,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,500,50,326.57,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000574_02893.fasta,293,sample,True,1000,50,561.02,0.0,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,warmup,False,1,50,6.38,226.9,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,10,50,9.47,1018.6,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,25,50,18.89,2327.9,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,50,50,33.43,3463.6,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,100,50,59.27,3474.5,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,200,50,124.97,3481.9,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,500,50,277.03,3491.4,ok
numsamples,2671010,t0030,3,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000252235_00511.fasta,114,sample,True,1000,50,563.95,3499.6,ok
numsamples,2671010,t0030,4,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,warmup,False,1,50,8.99,0.0,ok
